program_id,institution_id,program_name,field_of_study,study_level,duration_months,tuition_amount,tuition_currency,original_tuition_amount,original_currency,min_cgpa,min_ielts,min_gre,data_source,verified_by,last_verified_at
PROG_110,UNI_IND_IITB,Bachelors in Law,Law,Bachelors,24,201000,INR,201000,INR,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_111,UNI_IND_IITB,PhD in Psychology,Psychology,PhD,24,202000,INR,202000,INR,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_112,UNI_IND_IITD,Masters in Law,Law,Masters,24,200000,INR,200000,INR,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_113,UNI_IND_IITD,Bachelors in Psychology,Psychology,Bachelors,24,201000,INR,201000,INR,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_114,UNI_IND_IITD,PhD in History,History,PhD,24,202000,INR,202000,INR,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_115,UNI_KOR_SNU,Masters in Psychology,Psychology,Masters,24,10000,USD,13000000,KRW,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_116,UNI_KOR_SNU,Bachelors in History,History,Bachelors,24,11000,USD,13001000,KRW,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_117,UNI_KOR_SNU,PhD in Computer Science,Computer Science,PhD,24,12000,USD,13002000,KRW,3.4,7.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_118,UNI_KOR_KAIST,Masters in History,History,Masters,24,10000,USD,13000000,KRW,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_119,UNI_KOR_KAIST,Bachelors in Computer Science,Computer Science,Bachelors,24,11000,USD,13001000,KRW,3.2,6.5,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_120,UNI_KOR_KAIST,PhD in Business Administration,Business Administration,PhD,24,12000,USD,13002000,KRW,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_121,UNI_AUS_MELBOURNE,Masters in Computer Science,Computer Science,Masters,24,40000,AUD,40000,AUD,3.0,6.0,320,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_122,UNI_AUS_MELBOURNE,Bachelors in Business Administration,Business Administration,Bachelors,24,41000,AUD,41000,AUD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_123,UNI_AUS_MELBOURNE,PhD in General Engineering,General Engineering,PhD,24,42000,AUD,42000,AUD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_124,UNI_AUS_SYDNEY,Masters in Business Administration,Business Administration,Masters,24,40000,AUD,40000,AUD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_125,UNI_AUS_SYDNEY,Bachelors in General Engineering,General Engineering,Bachelors,24,41000,AUD,41000,AUD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_126,UNI_AUS_SYDNEY,PhD in Medicine,Medicine,PhD,24,42000,AUD,42000,AUD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_127,UNI_AUS_UNSW,Masters in General Engineering,General Engineering,Masters,24,40000,AUD,40000,AUD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_128,UNI_AUS_UNSW,Bachelors in Medicine,Medicine,Bachelors,24,41000,AUD,41000,AUD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_129,UNI_AUS_UNSW,PhD in Design,Design,PhD,24,42000,AUD,42000,AUD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_130,UNI_AUS_MONASH,Masters in Medicine,Medicine,Masters,24,40000,AUD,40000,AUD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_131,UNI_AUS_MONASH,Bachelors in Design,Design,Bachelors,24,41000,AUD,41000,AUD,3.2,6.5,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_132,UNI_AUS_MONASH,PhD in Law,Law,PhD,24,42000,AUD,42000,AUD,3.4,7.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
PROG_133,UNI_NZL_AUCKLAND,Masters in Design,Design,Masters,24,35000,AUD,38000,NZD,3.0,6.0,,PILOT_V1_MANUAL,auto_gen_v1,2026-07-14T05:02:05.155096Z
